ResponseID,A1_Role,A2_InstitutionType,A3_FirmSize,A4_Region,PB1_OperationalEfficiency,PB2_CustomerService,PB3_CompetitiveAdvantage,PB4_CostReduction,PB5_Innovation,PB6_NetBenefitsExceedRisks,C1_AdoptionStage,INT1_PlannedInvestment12Months,INT2_BudgetAllocated,INT3_VendorEngagement,INT4_StrategicCommitment,D1_DigitalMaturity,D2_GenAIFamiliarity,ORG1_SkilledPersonnel,ORG2_InfrastructureAndData,TMS1_LeadershipSupport,TMS2_ResourceProvision,TMS3_StrategicVision,CP1_CompetitorPressure,CP2_ClientExpectations,CP3_IndustryTrendAndPolicy,G1_BiggestMotivator,G2_ChallengesAndConcerns,G3_OtherObservations
18,Administrative assistant,Commercial bank,3,Central,4,4,4,3,4,4,5,3,4,4,4,3,3,4,4,4,4,4,3,3,4,Stable power supply,Adaptation due to aging,
19,Senior Functional Manager,Savings and loans company,1,Ashanti,4,4,4,4,4,3,5,4,4,4,4,3,3,4,4,4,4,4,4,4,4,None yet,None yet,
20,Senior Functional Manager,Microfinance institution,3,Northern,3,3,4,3,4,3,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,AI has the potential to improve innovation and efficiency,Ensuring ethical and responsible use,
21,Senior Functional Manager,Commercial bank,4,Greater Accra,5,5,5,4,5,5,5,5,3,2,5,3,4,5,4,5,4,4,3,4,5,The biggest motivator for organisation to invest in Generative AI revolves around operational efficiency and competitive edge. This automates time-consuming tasks like drafting financial reports# summarizing complex documents# and processing claims.,The primary reasons for hesitation are data security risks and regulatory uncertainty. This is when Protecting sensitive personally identifiable information (PII) is a massive concern.,
22,Senior Functional Manager,Commercial bank,3,Greater Accra,4,4,4,4,4,3,2,4,3,2,4,3,4,3,4,4,4,4,3,3,4,,,
23,Senior Functional Manager,Commercial bank,4,Greater Accra,5,4,5,5,5,5,3,4,4,5,5,3,2,4,3,4,3,3,4,4,5,The biggest motivator for our organisation to invest in Generative AI is its potential to provide smarter# faster# and more personalised support to taxpayers,Our organisation’s biggest concerns regarding Generative AI relate to data accuracy and governance,
24,Senior Functional Manager,Commercial bank,4,Greater Accra,5,5,5,5,5,5,2,4,3,4,4,3,2,3,3,4,3,4,3,4,4,,,
25,Senior Functional Manager,Commercial bank,4,Greater Accra,4,4,4,4,4,4,5,5,5,5,5,4,3,4,4,4,4,4,5,3,4,Maintaining a competitive edge by fundamentally transforming its service delivery and internal operations,The 'trust gap' between rapid technological adoption and the lagging development of robust governance frameworks,
26,CEO or Managing Director,Microfinance institution,3,Greater Accra,5,4,4,3,5,4,4,4,3,4,4,3,2,3,2,4,4,3,3,4,3,,,
27,CEO or Managing Director,Commercial bank,2,Greater Accra,3,3,3,2,4,3,3,2,2,2,3,2,2,2,3,2,3,3,2,3,3,,,
28,CEO or Managing Director,Rural or community bank,1,Western,4,4,4,5,4,4,2,2,1,2,2,1,2,2,1,3,3,2,2,1,3,,,
29,CEO or Managing Director,Commercial bank,4,Greater Accra,5,5,4,4,5,4,6,5,4,5,5,5,5,4,5,5,4,5,5,4,5,,,
30,CIO or CTO,Commercial bank,3,Greater Accra,4,4,5,3,4,4,5,4,4,3,4,3,4,4,3,4,3,4,5,4,4,,,
31,CEO or Managing Director,Savings and loans company,2,Greater Accra,4,4,5,3,4,4,5,4,3,3,4,3,4,3,3,4,4,4,3,3,4,,,
32,Senior Functional Manager,Commercial bank,1,Greater Accra,5,4,4,3,5,4,4,4,3,2,3,3,3,2,1,3,2,3,3,4,3,,,
33,CIO or CTO,Commercial bank,4,Greater Accra,5,5,5,4,5,4,6,5,5,5,4,4,4,4,5,4,5,4,4,4,5,,,
34,Innovation or Digital Transformation Manager,Commercial bank,3,Greater Accra,5,4,4,3,5,4,5,4,5,4,4,4,4,5,4,4,4,4,4,5,4,,,
35,Senior Functional Manager,Commercial bank,1,Greater Accra,3,3,4,4,4,4,3,3,3,3,3,2,3,3,3,3,3,3,4,4,4,,,
36,Senior Functional Manager,Commercial bank,4,Greater Accra,5,5,5,4,5,5,5,5,3,2,5,3,4,5,4,5,4,4,3,4,5,,,
37,CEO or Managing Director,Commercial bank,3,Greater Accra,4,4,4,4,4,3,2,4,3,2,4,3,4,3,4,4,4,4,3,3,4,,,
38,Head of Operations,Commercial bank,4,Greater Accra,5,4,5,5,5,5,3,4,4,5,5,3,2,4,3,4,3,3,4,4,5,,,
39,Senior Functional Manager,Commercial bank,4,Greater Accra,5,5,5,5,5,5,2,4,3,4,4,3,2,3,3,4,3,4,3,4,4,,,
40,CIO or CTO,Commercial bank,4,Greater Accra,4,4,4,4,4,4,5,5,5,5,5,4,3,4,4,4,4,4,5,3,4,,,
41,Senior Functional Manager,Microfinance institution,3,Greater Accra,5,4,4,3,5,4,4,4,3,4,4,3,2,3,2,4,4,3,3,4,3,,,
42,IT Staff,Commercial bank,2,Greater Accra,3,3,3,2,4,3,3,2,2,2,3,2,2,2,3,2,3,3,2,3,3,,,
43,CEO or Managing Director,Rural or community bank,1,Western,4,4,4,5,4,4,2,2,1,2,2,1,2,2,1,3,3,2,2,1,3,,,
44,Innovation or Digital Transformation Manager,Commercial bank,4,Greater Accra,5,5,4,4,5,4,6,5,4,5,5,5,5,4,5,5,4,5,5,4,5,,,
45,Innovation or Digital Transformation Manager,Commercial bank,3,Greater Accra,4,4,5,3,4,4,5,4,4,3,4,3,4,4,3,4,3,4,5,4,4,,,
46,CIO or CTO,Savings and loans company,2,Greater Accra,4,4,5,3,4,4,5,4,3,3,4,3,4,3,3,4,4,4,3,3,4,,,
47,Risk Manager,Commercial bank,1,Greater Accra,5,4,4,3,5,4,4,4,3,2,3,3,3,2,1,3,2,3,3,4,3,,,
48,Senior Functional Manager,Commercial bank,4,Greater Accra,5,5,5,4,5,4,6,5,5,5,4,4,4,4,5,4,5,4,4,4,5,,,
49,Senior Functional Manager,Commercial bank,3,Greater Accra,5,4,4,3,5,4,5,4,5,4,4,4,4,5,4,4,4,4,4,5,4,,,
50,Senior Functional Manager,Commercial bank,4,Greater Accra,4,4,4,4,4,4,2,3,3,3,4,4,3,4,4,4,4,3,4,4,4,,,
51,Senior Functional Manager,Commercial bank,4,Greater Accra,5,5,5,5,5,5,6,5,5,5,5,4,5,5,5,5,5,5,5,5,5,,,
52,Senior Functional Manager,Commercial bank,2,Greater Accra,5,5,5,4,5,5,4,5,4,5,5,4,3,4,4,4,5,5,5,4,5,,,
53,Senior Functional Manager,Commercial bank,4,Greater Accra,5,1,1,1,1,1,2,3,3,3,5,3,4,3,3,5,5,4,5,3,4,,,
54,Senior Functional Manager,Commercial bank,3,Greater Accra,4,4,4,3,5,4,5,5,4,3,5,5,5,5,4,4,4,3,4,4,4,,,
55,Business Transformation Manager,Commercial bank,3,Greater Accra,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,4,3,2,3,3,5,,,
56,CEO or Managing Director,Commercial bank,1,Greater Accra,5,4,4,4,4,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,,,
57,Senior Functional Manager,Commercial bank,3,Greater Accra,5,4,4,4,3,3,6,3,3,3,5,5,5,5,4,4,4,4,4,3,4,,,
58,Senior Functional Manager,Commercial bank,4,Greater Accra,5,5,5,5,5,3,5,5,4,4,5,5,4,5,5,5,5,5,5,4,4,,,
59,CEO or Managing Director,Commercial bank,2,Greater Accra,4,3,4,4,2,4,3,4,4,4,3,4,4,4,4,4,4,3,4,3,4,,,
60,Data Analytics Associate,Commercial bank,4,Greater Accra,5,5,5,5,5,3,5,4,4,4,4,4,3,4,4,4,4,3,4,4,4,,,
61,Senior Functional Manager,Commercial bank,2,Greater Accra,4,5,5,3,4,4,6,5,5,2,5,4,5,5,5,4,4,5,4,4,5,,,
62,Innovation or Digital Transformation Manager,Commercial bank,4,Greater Accra,5,4,5,4,5,5,6,5,5,5,5,4,4,4,5,4,4,5,5,5,5,,,
63,Senior Functional Manager,Commercial bank,3,Greater Accra,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,,,
64,Senior Functional Manager,Commercial bank,4,Greater Accra,4,4,4,4,4,4,2,3,3,3,4,4,3,4,4,4,4,3,4,4,4,,,
65,Senior Functional Manager,Commercial bank,4,Greater Accra,5,5,5,5,5,5,6,5,5,5,5,4,5,5,5,5,5,5,5,5,5,,,
66,Senior Functional Manager,Commercial bank,2,Greater Accra,5,5,5,4,5,5,4,5,4,5,5,4,3,4,4,4,5,5,5,4,5,,,
67,Senior Functional Manager,Commercial bank,4,Greater Accra,5,1,1,1,1,1,2,3,3,3,5,3,4,3,3,5,5,4,5,3,4,,,
68,Innovation or Digital Transformation Manager,Commercial bank,3,Greater Accra,4,4,4,3,5,4,5,5,4,3,5,5,5,5,4,4,4,3,4,4,4,,,
69,Finance Manager,Commercial bank,3,Greater Accra,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,4,3,2,3,3,5,,,
70,Senior Functional Manager,Commercial bank,1,Greater Accra,5,4,4,4,4,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,,,
71,Senior Functional Manager,Commercial bank,2,Greater Accra,4,3,4,4,2,4,3,4,4,4,3,4,4,4,4,4,4,3,4,3,4,,,
72,Senior Functional Manager,Savings and loans company,3,Central,5,5,4,3,4,3,2,3,3,4,4,3,4,3,3,4,3,4,4,3,4,,,
73,Senior Functional Manager,Commercial bank,2,Greater Accra,4,4,4,4,4,4,3,2,2,3,4,4,3,3,3,4,4,3,3,3,3,,,
74,Senior Functional Manager,Rural or community bank,3,Ashanti,4,3,4,3,4,4,2,3,4,4,4,4,3,4,4,4,4,4,4,4,4,,,
75,Data Entry Specialist,Commercial bank,3,Central,4,4,4,3,4,4,5,3,4,4,4,3,3,4,4,4,4,4,3,3,4,,,
76,Senior Functional Manager,Savings and loans company,1,Ashanti,4,4,4,4,4,3,5,4,4,4,4,3,3,4,4,4,4,4,4,4,4,,,
77,Senior Functional Manager,Microfinance institution,3,Northern,3,3,4,3,4,3,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,,,
78,Senior Functional Manager,Commercial bank,4,Greater Accra,5,5,5,4,5,5,5,5,3,1,5,3,4,5,4,5,4,4,3,4,5,,,
79,Senior Functional Manager,Commercial bank,3,Greater Accra,4,4,4,4,4,3,2,4,3,2,4,3,4,3,4,4,4,4,3,3,4,,,
80,Senior Functional Manager,Commercial bank,4,Greater Accra,5,4,5,5,5,5,3,4,4,5,5,3,2,4,3,4,3,3,4,4,5,,,
81,Senior Functional Manager,Commercial bank,4,Greater Accra,5,5,5,5,5,5,2,4,3,4,4,3,2,3,3,4,3,4,3,4,4,,,
82,Senior Functional Manager,Commercial bank,4,Greater Accra,4,4,4,4,4,4,5,5,5,5,5,4,3,4,4,4,4,4,5,3,4,,,
83,CEO or Managing Director,Microfinance institution,3,Greater Accra,5,4,4,3,5,4,4,4,3,4,4,3,2,3,2,4,4,3,3,4,3,,,
84,CEO or Managing Director,Commercial bank,2,Greater Accra,3,3,3,2,4,3,3,2,2,2,3,2,2,2,3,2,3,3,2,3,3,,,
85,CEO or Managing Director,Rural or community bank,1,Western,4,4,4,5,4,4,2,2,1,2,2,1,2,1,1,3,3,2,2,1,3,,,
86,CEO or Managing Director,Commercial bank,4,Greater Accra,5,5,4,4,5,4,6,5,4,5,5,5,5,4,5,5,4,5,5,4,5,,,
87,CIO or CTO,Commercial bank,3,Greater Accra,4,4,5,3,4,4,5,4,4,3,4,3,4,4,3,4,3,4,5,4,4,,,
88,CEO or Managing Director,Savings and loans company,2,Greater Accra,4,4,5,3,4,4,5,4,3,3,4,3,4,3,3,4,4,4,3,3,4,,,
89,Senior Functional Manager,Commercial bank,1,Greater Accra,5,4,4,3,5,4,4,4,3,2,3,3,3,2,1,3,2,3,3,4,3,,,
90,CIO or CTO,Commercial bank,4,Greater Accra,5,5,5,4,5,4,6,5,5,5,4,4,4,4,5,4,5,4,4,4,5,,,
91,Innovation or Digital Transformation Manager,Commercial bank,3,Greater Accra,5,4,4,3,5,4,5,4,5,4,4,4,4,5,4,4,4,4,4,5,4,,,
92,Senior Functional Manager,Commercial bank,1,Greater Accra,3,3,4,4,4,4,3,3,3,3,3,2,3,3,3,3,3,3,4,4,4,,,
93,Senior Functional Manager,Commercial bank,4,Greater Accra,5,5,5,4,5,5,5,5,3,2,5,3,4,5,4,5,4,4,3,4,5,,,
94,CEO or Managing Director,Commercial bank,3,Greater Accra,4,4,4,4,4,3,2,4,3,2,4,3,4,3,4,4,4,4,3,3,4,,,
95,Head of Operations,Commercial bank,4,Greater Accra,5,4,5,5,5,5,3,4,4,5,5,3,2,4,3,4,3,3,4,4,5,,,
96,Senior Functional Manager,Commercial bank,4,Greater Accra,5,5,5,5,5,5,2,4,3,4,4,3,2,3,3,4,3,4,3,4,4,,,
97,CIO or CTO,Commercial bank,4,Greater Accra,4,4,4,4,4,4,5,5,5,5,5,4,3,4,4,4,4,4,5,3,4,,,
98,Senior Functional Manager,Microfinance institution,3,Greater Accra,5,4,4,3,5,4,4,4,3,4,4,3,2,3,2,4,4,3,3,4,3,,,
99,Transformation lead,Commercial bank,2,Greater Accra,3,3,3,2,4,3,3,2,2,2,3,2,2,2,3,2,3,3,2,3,3,,,
100,CEO or Managing Director,Rural or community bank,1,Western,4,4,4,5,4,4,2,2,1,2,2,1,2,2,1,3,3,2,2,1,3,,,
101,Innovation or Digital Transformation Manager,Commercial bank,4,Greater Accra,5,5,4,4,5,4,6,5,4,5,5,5,5,4,5,5,4,5,5,4,5,,,
102,Innovation or Digital Transformation Manager,Commercial bank,3,Greater Accra,4,4,5,3,4,4,5,4,4,3,4,3,4,4,3,4,3,4,5,4,4,,,
103,CIO or CTO,Savings and loans company,2,Greater Accra,4,4,5,3,4,4,5,4,3,3,4,3,4,3,3,4,4,4,3,3,4,,,
104,Risk Manager,Commercial bank,1,Greater Accra,5,4,4,3,5,4,4,4,3,2,3,3,3,2,1,3,2,3,3,4,3,,,
105,Senior Functional Manager,Commercial bank,4,Greater Accra,5,5,5,4,5,4,6,5,5,5,4,4,4,4,5,4,5,4,4,4,5,,,
106,Senior Functional Manager,Commercial bank,3,Greater Accra,5,4,4,3,5,4,5,4,5,4,4,4,4,5,4,4,4,4,4,5,4,,,
107,Senior Functional Manager,Commercial bank,4,Greater Accra,4,4,4,4,4,4,2,3,3,3,4,4,3,4,4,4,4,3,4,4,4,,,
108,Senior Functional Manager,Commercial bank,4,Greater Accra,5,5,5,5,5,5,6,5,5,5,5,4,5,5,5,5,5,5,5,5,5,,,
109,Senior Functional Manager,Commercial bank,2,Greater Accra,5,5,5,4,5,5,4,5,4,5,5,4,3,4,4,4,5,5,5,4,5,,,
110,Senior Functional Manager,Commercial bank,4,Greater Accra,5,1,1,1,1,1,2,3,3,3,5,3,4,3,3,5,5,4,5,3,4,,,
111,Senior Functional Manager,Commercial bank,3,Greater Accra,4,4,4,3,5,4,5,5,4,3,5,5,5,5,4,4,4,3,4,4,4,,,
112,Business Transformation Manager,Commercial bank,3,Greater Accra,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,4,3,2,3,3,5,,,
113,CEO or Managing Director,Commercial bank,1,Greater Accra,5,4,4,4,4,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,,,
114,Senior Functional Manager,Commercial bank,3,Greater Accra,5,4,4,4,3,3,6,3,3,3,5,5,5,5,4,4,4,4,4,3,4,,,
115,Senior Functional Manager,Commercial bank,4,Greater Accra,5,5,5,5,5,3,5,5,4,4,5,5,4,5,5,5,5,5,5,4,4,,,
116,CEO or Managing Director,Commercial bank,2,Greater Accra,4,3,4,4,2,4,3,4,4,4,3,4,4,4,4,4,4,3,4,3,4,,,
